Average time to generate key with 3 bits: 8ms
Average time to generate key with 4 bits: 8ms
Average time to generate key with 5 bits: 7ms
Average time to generate key with 6 bits: 7ms
Average time to generate key with 7 bits: 8ms
Average time to generate key with 8 bits: 9ms
Average time to generate key with 9 bits: 10ms
Average time to generate key with 10 bits: 11ms
Average time to generate key with 11 bits: 12ms
Average time to generate key with 12 bits: 13ms
Average time to generate key with 13 bits: 15ms
Average time to generate key with 14 bits: 16ms
Average time to generate key with 15 bits: 17ms

Average time to encrypt: 528ms and decrypt: 1123 ms for n with 64 bits
Average time to encrypt: 544ms and decrypt: 1188 ms for n with 66 bits
Average time to encrypt: 517ms and decrypt: 1195 ms for n with 68 bits
Average time to encrypt: 850ms and decrypt: 2031 ms for n with 70 bits
Average time to encrypt: 463ms and decrypt: 1162 ms for n with 72 bits
Average time to encrypt: 526ms and decrypt: 1387 ms for n with 74 bits
Average time to encrypt: 550ms and decrypt: 1367 ms for n with 76 bits
Average time to encrypt: 856ms and decrypt: 2341 ms for n with 78 bits
Average time to encrypt: 1187ms and decrypt: 3379 ms for n with 80 bits
Average time to encrypt: 651ms and decrypt: 1753 ms for n with 82 bits
Average time to encrypt: 673ms and decrypt: 2007 ms for n with 84 bits
Average time to encrypt: 706ms and decrypt: 2052 ms for n with 86 bits
Average time to encrypt: 1109ms and decrypt: 3479 ms for n with 88 bits
Average time to encrypt: 1686ms and decrypt: 5235 ms for n with 90 bits
Average time to encrypt: 798ms and decrypt: 2401 ms for n with 92 bits
Average time to encrypt: 799ms and decrypt: 2666 ms for n with 94 bits





REKONSTRUKCIJA BYTE: 11 bajtov, N = 20, K = 10, cas: 732 mikrosekund
RAZBIJANJE BIGINT: 12 bajtov, N = 10, K = 3, cas: 30 mikrosekund
REKONSTRUKCIJA BIGINT: 12 bajtov, N = 10, K = 3, cas: 15 mikrosekund
RAZBIJANJE BYTE: 12 bajtov, N = 10, K = 3, cas: 298 mikrosekund
REKONSTRUKCIJA BYTE: 12 bajtov, N = 10, K = 3, cas: 73 mikrosekund
RAZBIJANJE BIGINT: 12 bajtov, N = 10, K = 5, cas: 43 mikrosekund
REKONSTRUKCIJA BIGINT: 12 bajtov, N = 10, K = 5, cas: 30 mikrosekund
RAZBIJANJE BYTE: 12 bajtov, N = 10, K = 5, cas: 517 mikrosekund
REKONSTRUKCIJA BYTE: 12 bajtov, N = 10, K = 5, cas: 218 mikrosekund
RAZBIJANJE BIGINT: 12 bajtov, N = 20, K = 3, cas: 61 mikrosekund
REKONSTRUKCIJA BIGINT: 12 bajtov, N = 20, K = 3, cas: 20 mikrosekund
RAZBIJANJE BYTE: 12 bajtov, N = 20, K = 3, cas: 731 mikrosekund
REKONSTRUKCIJA BYTE: 12 bajtov, N = 20, K = 3, cas: 98 mikrosekund
RAZBIJANJE BIGINT: 12 bajtov, N = 20, K = 5, cas: 75 mikrosekund
REKONSTRUKCIJA BIGINT: 12 bajtov, N = 20, K = 5, cas: 27 mikrosekund
RAZBIJANJE BYTE: 12 bajtov, N = 20, K = 5, cas: 835 mikrosekund
REKONSTRUKCIJA BYTE: 12 bajtov, N = 20, K = 5, cas: 280 mikrosekund
RAZBIJANJE BIGINT: 12 bajtov, N = 20, K = 10, cas: 157 mikrosekund
REKONSTRUKCIJA BIGINT: 12 bajtov, N = 20, K = 10, cas: 96 mikrosekund
RAZBIJANJE BYTE: 12 bajtov, N = 20, K = 10, cas: 1794 mikrosekund
REKONSTRUKCIJA BYTE: 12 bajtov, N = 20, K = 10, cas: 709 mikrosekund
RAZBIJANJE BIGINT: 13 bajtov, N = 10, K = 3, cas: 27 mikrosekund
REKONSTRUKCIJA BIGINT: 13 bajtov, N = 10, K = 3, cas: 15 mikrosekund
RAZBIJANJE BYTE: 13 bajtov, N = 10, K = 3, cas: 344 mikrosekund
REKONSTRUKCIJA BYTE: 13 bajtov, N = 10, K = 3, cas: 88 mikrosekund
RAZBIJANJE BIGINT: 13 bajtov, N = 10, K = 5, cas: 33 mikrosekund
REKONSTRUKCIJA BIGINT: 13 bajtov, N = 10, K = 5, cas: 23 mikrosekund
RAZBIJANJE BYTE: 13 bajtov, N = 10, K = 5, cas: 431 mikrosekund
REKONSTRUKCIJA BYTE: 13 bajtov, N = 10, K = 5, cas: 166 mikrosekund
RAZBIJANJE BIGINT: 13 bajtov, N = 20, K = 3, cas: 61 mikrosekund
REKONSTRUKCIJA BIGINT: 13 bajtov, N = 20, K = 3, cas: 17 mikrosekund
RAZBIJANJE BYTE: 13 bajtov, N = 20, K = 3, cas: 800 mikrosekund
REKONSTRUKCIJA BYTE: 13 bajtov, N = 20, K = 3, cas: 103 mikrosekund
RAZBIJANJE BIGINT: 13 bajtov, N = 20, K = 5, cas: 97 mikrosekund
REKONSTRUKCIJA BIGINT: 13 bajtov, N = 20, K = 5, cas: 34 mikrosekund
RAZBIJANJE BYTE: 13 bajtov, N = 20, K = 5, cas: 1279 mikrosekund
REKONSTRUKCIJA BYTE: 13 bajtov, N = 20, K = 5, cas: 263 mikrosekund
RAZBIJANJE BIGINT: 13 bajtov, N = 20, K = 10, cas: 186 mikrosekund
REKONSTRUKCIJA BIGINT: 13 bajtov, N = 20, K = 10, cas: 110 mikrosekund
RAZBIJANJE BYTE: 13 bajtov, N = 20, K = 10, cas: 2362 mikrosekund
REKONSTRUKCIJA BYTE: 13 bajtov, N = 20, K = 10, cas: 843 mikrosekund
RAZBIJANJE BIGINT: 14 bajtov, N = 10, K = 3, cas: 50 mikrosekund
REKONSTRUKCIJA BIGINT: 14 bajtov, N = 10, K = 3, cas: 24 mikrosekund
RAZBIJANJE BYTE: 14 bajtov, N = 10, K = 3, cas: 472 mikrosekund
REKONSTRUKCIJA BYTE: 14 bajtov, N = 10, K = 3, cas: 120 mikrosekund
RAZBIJANJE BIGINT: 14 bajtov, N = 10, K = 5, cas: 36 mikrosekund
REKONSTRUKCIJA BIGINT: 14 bajtov, N = 10, K = 5, cas: 25 mikrosekund
RAZBIJANJE BYTE: 14 bajtov, N = 10, K = 5, cas: 438 mikrosekund
REKONSTRUKCIJA BYTE: 14 bajtov, N = 10, K = 5, cas: 196 mikrosekund
RAZBIJANJE BIGINT: 14 bajtov, N = 20, K = 3, cas: 33 mikrosekund
REKONSTRUKCIJA BIGINT: 14 bajtov, N = 20, K = 3, cas: 9 mikrosekund
RAZBIJANJE BYTE: 14 bajtov, N = 20, K = 3, cas: 454 mikrosekund
REKONSTRUKCIJA BYTE: 14 bajtov, N = 20, K = 3, cas: 60 mikrosekund
RAZBIJANJE BIGINT: 14 bajtov, N = 20, K = 5, cas: 68 mikrosekund
REKONSTRUKCIJA BIGINT: 14 bajtov, N = 20, K = 5, cas: 25 mikrosekund
RAZBIJANJE BYTE: 14 bajtov, N = 20, K = 5, cas: 812 mikrosekund
REKONSTRUKCIJA BYTE: 14 bajtov, N = 20, K = 5, cas: 166 mikrosekund
RAZBIJANJE BIGINT: 14 bajtov, N = 20, K = 10, cas: 148 mikrosekund
REKONSTRUKCIJA BIGINT: 14 bajtov, N = 20, K = 10, cas: 102 mikrosekund
RAZBIJANJE BYTE: 14 bajtov, N = 20, K = 10, cas: 2053 mikrosekund
REKONSTRUKCIJA BYTE: 14 bajtov, N = 20, K = 10, cas: 733 mikrosekund
RAZBIJANJE BIGINT: 15 bajtov, N = 10, K = 3, cas: 33 mikrosekund
REKONSTRUKCIJA BIGINT: 15 bajtov, N = 10, K = 3, cas: 17 mikrosekund
RAZBIJANJE BYTE: 15 bajtov, N = 10, K = 3, cas: 432 mikrosekund
REKONSTRUKCIJA BYTE: 15 bajtov, N = 10, K = 3, cas: 119 mikrosekund
RAZBIJANJE BIGINT: 15 bajtov, N = 10, K = 5, cas: 46 mikrosekund
REKONSTRUKCIJA BIGINT: 15 bajtov, N = 10, K = 5, cas: 34 mikrosekund
RAZBIJANJE BYTE: 15 bajtov, N = 10, K = 5, cas: 676 mikrosekund
REKONSTRUKCIJA BYTE: 15 bajtov, N = 10, K = 5, cas: 268 mikrosekund
RAZBIJANJE BIGINT: 15 bajtov, N = 20, K = 3, cas: 50 mikrosekund
REKONSTRUKCIJA BIGINT: 15 bajtov, N = 20, K = 3, cas: 14 mikrosekund
RAZBIJANJE BYTE: 15 bajtov, N = 20, K = 3, cas: 654 mikrosekund
REKONSTRUKCIJA BYTE: 15 bajtov, N = 20, K = 3, cas: 90 mikrosekund
RAZBIJANJE BIGINT: 15 bajtov, N = 20, K = 5, cas: 90 mikrosekund
REKONSTRUKCIJA BIGINT: 15 bajtov, N = 20, K = 5, cas: 34 mikrosekund
RAZBIJANJE BYTE: 15 bajtov, N = 20, K = 5, cas: 1300 mikrosekund
REKONSTRUKCIJA BYTE: 15 bajtov, N = 20, K = 5, cas: 273 mikrosekund
RAZBIJANJE BIGINT: 15 bajtov, N = 20, K = 10, cas: 108 mikrosekund
REKONSTRUKCIJA BIGINT: 15 bajtov, N = 20, K = 10, cas: 82 mikrosekund
RAZBIJANJE BYTE: 15 bajtov, N = 20, K = 10, cas: 1595 mikrosekund
REKONSTRUKCIJA BYTE: 15 bajtov, N = 20, K = 10, cas: 607 mikrosekund
RAZBIJANJE BIGINT: 16 bajtov, N = 10, K = 3, cas: 34 mikrosekund
REKONSTRUKCIJA BIGINT: 16 bajtov, N = 10, K = 3, cas: 19 mikrosekund
RAZBIJANJE BYTE: 16 bajtov, N = 10, K = 3, cas: 485 mikrosekund
REKONSTRUKCIJA BYTE: 16 bajtov, N = 10, K = 3, cas: 125 mikrosekund
RAZBIJANJE BIGINT: 16 bajtov, N = 10, K = 5, cas: 51 mikrosekund
REKONSTRUKCIJA BIGINT: 16 bajtov, N = 10, K = 5, cas: 51 mikrosekund
RAZBIJANJE BYTE: 16 bajtov, N = 10, K = 5, cas: 712 mikrosekund
REKONSTRUKCIJA BYTE: 16 bajtov, N = 10, K = 5, cas: 318 mikrosekund
RAZBIJANJE BIGINT: 16 bajtov, N = 20, K = 3, cas: 81 mikrosekund
REKONSTRUKCIJA BIGINT: 16 bajtov, N = 20, K = 3, cas: 29 mikrosekund
RAZBIJANJE BYTE: 16 bajtov, N = 20, K = 3, cas: 1104 mikrosekund
